,The Dish on Science,,
,Post Information,,
,Instructions:,,
,Please fill in the values column for each relevant field. Please leave all fields that you do not use BLANK. Submissions not following instructions in the Description column will be rejected.,,
,,,
,Description,Fields,Values
,100 character max (inc spaces),Post Title,The Birds Revisited
,"100 character max, only lowercase letters and hyphens (NO SPACES!) This will be what comes after ...com/posts/ in your post's URL. Be descriptive, and separate words with hyphens.",Post URL,the-birds-revisited
,"./images/IMAGE_FILE_NAME (include the extension). Remember, this will be used as the title image for the article, so don’t include it again within the article. Make sure it represents the article well as a whole, since it will be the visual representation of your article on the site. Also, make sure that it is high enough resolution to look good when full-screened, since it will be very large at the top of your article.",5x2 (WxH) Image File Name,./images/image1.jpg
,100 character max (inc spaces),Post Blurb,"How some of the ocean’s smallest creatures triggered a real-life invasion of crazed seabirds, and helped inspire Hitchcock’s famous thriller"
,500 character max (inc spaces). Shorter is usually better. Aim for 200 characters.,Post Description,"In the wee hours of the morning on August 18, 1961, the residents of Capitola, California were awakened by a surreal phenomenon:  Thousands of crazed sooty shearwaters were flying erratically through the streets, disgorging bits of fish, and crash landing, kamikaze-like into street lamps and roof tops.  A few brave souls ventured outside to investigate, but immediately retreated.  The birds, upon seeing the light from their flashlights, flew directly toward them. "
,thedishonscience.stanford.edu/topics/USE-THIS-STRING,Team Name(s),marine-biology
,"Please use EXACTLY the same name each time you submit a new post. This is like your username. If there is more than one author, use one column per author.",Author Name(s),Diana LaScala-Gruenewald
,"Only use this if you want to have a specific headshot just for this article. Otherwise, leave blank. By default the picture submitted with the author_info form will be used. Remember to fill out the author_info Excel form if you want a page on the website about yourself!",Author Headshot File Name(s),
,Please use EXACTLY the same name each time you submit a new post. This is like your username.,Illustrator Name(s),
,"Only use this if you want to have a specific headshot just for this article. Otherwise, leave blank. By default the picture submitted with the author_info form will be used. Remember to fill out the author_info Excel form if you want a page on the website about yourself!",Illustrator Headshot File Name(s),
,"./images/IMAGE_FILE_NAME (include the extension). This should be a cropped version of your ""5x2 (WxH) Image File"" if possible. This will be used if your article makes it to the most popular list.",2x1 (WxH) Image File Name,
,"./images/IMAGE_FILE_NAME (include the extension). This should be an image that looks good when it is very tiny, like 80px by 80px. This will be used as a thumbnail for your article when necessary, for example if someone shares your article on Facebook, this is what they'll see.",1x1 (WxH) Image File Name (Thumbnail),
